,state,county,score
884,Michigan,Crawford,0
885,Michigan,Delta,0
886,Michigan,Dickinson,0
887,Michigan,Eaton,0
888,Michigan,Emmet,0
889,Michigan,Genesee,0
890,Michigan,Gladwin,0
891,Michigan,Gogebic,0
892,Michigan,Grand Traverse,0
893,Michigan,Gratiot,0
894,Michigan,Hillsdale,0
895,Michigan,Houghton,0
896,Michigan,Huron,0
897,Michigan,Ingham,0
898,Michigan,Ionia,0
899,Michigan,Iosco,0
900,Michigan,Iron,0
901,Michigan,Isabella,0
902,Michigan,Jackson,0
903,Michigan,Kalamazoo,0
904,Michigan,Kalkaska,0
905,Michigan,Kent,0
906,Michigan,Keweenaw,0
907,Michigan,Lake,0
908,Michigan,Lapeer,0
909,Michigan,Leelanau,0
910,Michigan,Lenawee,0
911,Michigan,Livingston,0
912,Michigan,Luce,0
913,Michigan,Mackinac,0
914,Michigan,Macomb,0
915,Michigan,Manistee,0
916,Michigan,Marquette,0
917,Michigan,Mason,0
918,Michigan,Mecosta,0
919,Michigan,Menominee,0
920,Michigan,Midland,0
921,Michigan,Missaukee,0
922,Michigan,Monroe,0
923,Michigan,Montcalm,0
924,Michigan,Montmorency,0
925,Michigan,Muskegon,0
926,Michigan,Newaygo,0
927,Michigan,Oakland,0
928,Michigan,Oceana,0
929,Michigan,Ogemaw,0
930,Michigan,Ontonagon,0
931,Michigan,Osceola,0
932,Michigan,Oscoda,0
933,Michigan,Otsego,0
934,Michigan,Ottawa,0
935,Michigan,Presque Isle,0
936,Michigan,Roscommon,0
937,Michigan,Saginaw,0
938,Michigan,Sanilac,0
939,Michigan,Schoolcraft,0
940,Michigan,Shiawassee,0
941,Michigan,Tuscola,0
942,Michigan,Van Buren,0
943,Michigan,Washtenaw,0
944,Michigan,Wayne,0
945,Michigan,Wexford,0
946,Mississippi,Adams,0
947,Mississippi,Alcorn,0
948,Mississippi,Amite,0
949,Mississippi,Attala,0
950,Mississippi,Benton,0
951,Mississippi,Bolivar,0
952,Mississippi,Calhoun,0
953,Mississippi,Carroll,0
