,0,1,2
400,Idaho,Jerome,2889.6945656864837
1517,Texas,Childress,1860.707703898609
761,Louisiana,Morehouse,71.61095754947837
1356,South Carolina,Dillon,2090.333982996114
1422,Tennessee,Haywood,1319.320567774822
1594,Texas,Hunt,-461.59748268340354
1871,New Hampshire,Belknap,1091.0295207947802
572,Iowa,Lyon,-194.86084007698537
921,Mississippi,Noxubee,1912.2847366936267
1849,Virginia,Richmond,312.49465255126324
1658,Texas,Orange,11610.834759582802
794,Michigan,Alpena,2855.7989409791526
842,Michigan,Marquette,-181.3081021060052
1624,Texas,Limestone,1636.3068531384433
77,Arizona,Santa Cruz,963.870376433013
1088,North Carolina,Burke,1917.0339305716598
1347,South Carolina,Berkeley,-4148.086629025239
852,Michigan,Newaygo,3483.9171751110816
43,Alabama,Madison,2371.6032549235033
275,Georgia,Fulton,11757.17203185851
81,Arkansas,Ashley,1772.9779143629048
74,Arizona,Navajo,1877.8514129178975
426,Illinois,Cass,19361.44313813379
240,Georgia,Charlton,5261.801427708325
1446,Tennessee,Monroe,-226.87194792024457
120,Arkansas,Little River,2205.8489458157665
141,Arkansas,Saline,-137.5707315455793
1337,Oklahoma,Washita,1748.12451389724
686,Kentucky,Marshall,638.5342870580807
998,Missouri,Jackson,-496.88212974969247
698,Kentucky,Morgan,900.1786245570393
307,Georgia,Lowndes,4169.997889655543
809,Michigan,Clinton,711.1698034780284
930,Mississippi,Rankin,127.03529706671816
