,0,1,2
828,Mississippi,Amite,1198.3311672004688
636,Iowa,Lyon,191.87825520841898
789,Michigan,Leelanau,200.82475958127134
1530,Texas,Aransas,186.97664647915553
988,Missouri,Polk,101.35740888768532
1144,North Carolina,Chowan,-588.2298126363364
111,Arkansas,Independence,-197.11201150599322
94,Arkansas,Conway,1059.0818993271373
1784,Utah,Davis,474.99286175065754
755,Michigan,Berrien,764.9498368394588
1527,Texas,Anderson,3.05232139849295
77,Arizona,Santa Cruz,7727.365566398348
972,Missouri,Moniteau,409.42249877745826
161,Colorado,Broomfield,98.41254877444999
1804,Utah,Wasatch,74.19780305891754
333,Georgia,Evans,-199.99842314153193
363,Georgia,Jones,242.56118012304978
312,Georgia,Clinch,1763.0301846416264
1117,Nevada,Lyon,712.4279246931405
1035,Nebraska,Dakota,247.69537297992292
1342,Oklahoma,Hughes,332.30122293953946
1357,Oklahoma,McCurtain,-375.110269034029
1667,Texas,La Salle,412.31532877495056
801,Michigan,Missaukee,1768.339678235246
1267,Ohio,Licking,7702.759967735556
349,Georgia,Hancock,731.3829525788283
1504,Tennessee,Roane,17249.91363379068
1753,Texas,Tyler,48.53164161113773
1257,Ohio,Henry,969.9458263461033
382,Georgia,Montgomery,499.7430303607348
1891,Virginia,Prince Edward,629.9767274133578
765,Michigan,Delta,2072.0675027782313
115,Arkansas,Johnson,2029.4696909424983
1161,North Carolina,Granville,1994.133620504364
931,Missouri,Cole,123910.44219954983
390,Georgia,Peach,-571.5259784119589
1140,North Carolina,Caswell,435.79314290497496
1767,Texas,Wichita,-58.523680471664875
201,Colorado,Park,416.19506835874563
1328,Oklahoma,Craig,1216.5307186647792
235,Florida,Gadsden,990.4583255779521
506,Illinois,Fulton,8729.830647859755
249,Florida,Lafayette,2450.614197495994
32,Alabama,Henry,501.32487198785975
1851,Virginia,Frederick,269.1265733553464
1414,South Carolina,Kershaw,1787.33173446738
167,Colorado,Crowley,1478.1280811989268
1086,Nebraska,Red Willow,1315.9878141080071
961,Missouri,Lincoln,4333.516495845692
405,Georgia,Spalding,2876.603664469964
1166,North Carolina,Haywood,-272.50013693468327
975,Missouri,Morgan,191.01498621992278
1798,Utah,Sanpete,397.9847020398238
707,Louisiana,Orleans,2512.373139583427
1219,North Carolina,Wilkes,8600.330869438803
691,Louisiana,East Carroll,3275.7901022953924
1931,New York,Clinton,1859.8803895783935
743,Massachusetts,Plymouth,918.5871752071744
843,Mississippi,Franklin,510.7589287403889
359,Georgia,Jeff Davis,662.2141520778355
552,Illinois,Pulaski,1224.6147988434072
1528,Texas,Andrews,56082.64882153505
1538,Texas,Baylor,-24.951456811262233
1397,South Carolina,Cherokee,71.75465271507119
1442,Tennessee,Carter,56.4379737821173
929,Missouri,Clay,1946.1399906589409
712,Louisiana,Red River,-272.27253754108824
450,Idaho,Butte,539.3282829532504
615,Iowa,Guthrie,12214.912233220446
1237,Ohio,Columbiana,-144.07764048303034
538,Illinois,McHenry,1217.6294242986382
917,Missouri,Butler,1865.764725415338
1283,Ohio,Noble,1583.775850039624
311,Georgia,Clayton,1178.22284889194
978,Missouri,Nodaway,4802.713645593643
149,Arkansas,Van Buren,-499.75719783107184
305,Georgia,Chatham,2908.9577659091524
1898,Virginia,Rockbridge,285.667403103364
587,Iowa,Buena Vista,-577.8028274129751
319,Georgia,Crawford,4391.342646648458
1099,Nebraska,Thomas,2011.750512217944
495,Illinois,Clinton,991.6463063001975
252,Florida,Leon,2447.9024356007726
37,Alabama,Lauderdale,544.2646703285022
402,Georgia,Schley,-5.311170815931291
592,Iowa,Cedar,868.4743430792046
300,Georgia,Camden,1366.661400520226
1343,Oklahoma,Jackson,1302.3790224235204
1720,Texas,Refugio,6568.526978395652
1899,Virginia,Rockingham,14240.608248951268
1174,North Carolina,Jones,628.168362350275
1134,North Carolina,Buncombe,245.64773874583761
618,Iowa,Hardin,350.82889309732036
1612,Texas,Glasscock,830.4710976854612
1306,Ohio,Washington,6641.105471171046
1077,Nebraska,Nemaha,4030.7736018588043
1416,South Carolina,Laurens,34.82233982238267
763,Michigan,Clinton,337.9753658689842
529,Illinois,Logan,1069.161989619393
1141,North Carolina,Catawba,14784.059977566765
1850,Virginia,Franklin,11753.425738873704
1644,Texas,Jack,669.134681757851
1543,Texas,Borden,764.3056806766726
63,Alabama,Wilcox,1555.3973386097587
1349,Oklahoma,Latimer,214.74220736979032
1060,Nebraska,Howard,-4.2282929454122495
44,Alabama,Marengo,1472.8223147458266
1572,Texas,Comal,882.9117938225818
281,Georgia,Appling,1071.2002883749547
1578,Texas,Crane,7334.131249376822
1890,Virginia,Powhatan,361.72140905783544
1405,South Carolina,Edgefield,2790.434901578165
508,Illinois,Greene,1299.8274117920282
0,Alabama,Autauga,94.62412450485635
1754,Texas,Upshur,1432.8109063591587
536,Illinois,Massac,24439.063020279402
523,Illinois,Kendall,357.34177181090854
1009,Missouri,Washington,108.51046005161697
1057,Nebraska,Hitchcock,2826.783362422943
81,Arkansas,Ashley,3612.462311774871
1700,Texas,Newton,427.71548355462573
170,Colorado,Denver,5870.08524535831
737,Massachusetts,Barnstable,397.7743501212335
1023,Nebraska,Buffalo,1313.3949481230434
781,Michigan,Isabella,924.7319520530577
1780,Utah,Box Elder,1322.2443283750458
1188,North Carolina,Northampton,421.8317890288931
1400,South Carolina,Clarendon,1023.4289929315569
1164,North Carolina,Halifax,1660.1818935921247
350,Georgia,Haralson,80.4526396133574
1073,Nebraska,McPherson,-330.21417411208927
1264,Ohio,Knox,1441.201942556239
166,Colorado,Costilla,-5.939443907289842
1241,Ohio,Darke,844.9683954019656
1396,South Carolina,Charleston,2867.2643766534743
1198,North Carolina,Randolph,6628.613967519395
416,Georgia,Tift,542.857970725408
1365,Oklahoma,Okmulgee,2252.501131291196
1939,New York,Suffolk,209.47047478128115
1581,Texas,Culberson,1769.465450152145
1458,Tennessee,Gibson,-616.7776947573157
280,Florida,Washington,1995.1685314019942
1594,Texas,Ector,322.8860271862982
1842,Virginia,Cumberland,628.5349549633688
1696,Texas,Morris,1283.69550204721
1918,New Hampshire,Belknap,2277.896572785037
800,Michigan,Midland,238.98979990969838
247,Florida,Jackson,-301.28125598356246
1549,Texas,Briscoe,2075.7928982302524
